# Xbs Ybs THbs Xgl Ygl THgl Xlc Ylc THlc time
0.392255 -0.234487 19.159204  0.533341 0.790429 2.153991  -0.234129 1.221541 -8.627533  1445405520.422286
0.406429 -0.229705 19.194087  0.524908 0.802784 2.188873  -0.244411 1.210676 -8.592650  1445405520.472749
0.420438 -0.224428 19.229111  0.516042 0.814847 2.223897  -0.254315 1.199450 -8.557626  1445405520.523265
0.434240 -0.218669 19.263853  0.506769 0.826580 2.258639  -0.263810 1.187896 -8.522885  1445405520.573710
0.447870 -0.212428 19.297268  0.497077 0.838017 2.292055  -0.272928 1.175996 -8.489469  1445405520.624202
0.461276 -0.205744 19.330204  0.487021 0.849119 2.324990  -0.281640 1.163811 -8.456534  1445405520.674537
0.474455 -0.198625 19.362518  0.476606 0.859885 2.357305  -0.289948 1.151347 -8.424219  1445405520.724981
0.487384 -0.191094 19.394607  0.465862 0.870299 2.389394  -0.297842 1.138636 -8.392130  1445405520.775457
0.500109 -0.183128 19.426301  0.454755 0.880399 2.421087  -0.305352 1.125637 -8.360436  1445405520.825984
0.512563 -0.174775 19.457374  0.442191 0.891088 2.455265  -0.313128 1.111089 -8.326259  1445405520.876473
0.525952 -0.165152 19.491100  0.430466 0.900424 2.485886  -0.319761 1.097649 -8.295638  1445405520.926981
0.537837 -0.156021 19.521100  0.418464 0.909401 2.515886  -0.325983 1.084014 -8.265637  1445405520.977259
0.549430 -0.146548 19.550931  0.406212 0.918004 2.545718  -0.331787 1.070214 -8.235806  1445405521.027528
0.560755 -0.136726 19.579718  0.393695 0.926255 2.574504  -0.337191 1.056230 -8.207019  1445405521.077958
0.571798 -0.126586 19.607884  0.380949 0.934147 2.602670  -0.342196 1.042098 -8.178854  1445405521.128446
0.582552 -0.116141 19.635429  0.367987 0.941680 2.630215  -0.346804 1.027832 -8.151308  1445405521.178950
0.593023 -0.105401 19.662523  0.354817 0.948861 2.657309  -0.351023 1.013438 -8.124215  1445405521.229423
0.603210 -0.094374 19.689023  0.341448 0.955690 2.683810  -0.354856 0.998923 -8.097714  1445405521.279880
0.613081 -0.083106 19.715129  0.327933 0.962150 2.709916  -0.358298 0.984344 -8.071608  1445405521.330175
0.622649 -0.071597 19.740868  0.314267 0.968253 2.735654  -0.361643 0.968232 -8.043245  1445405521.380740
